ticker,exchange,asset_type,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_sector,tv_industry,tv_country,name_match,peer_name_match,decision
159960,SZSE,ETF,恒生中国企业ETF平安,159960,Ping An HK Stock Hang Seng China Index Fund,SZSE,fund,etf,CNE100003886,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159961,SZSE,ETF,深100ETF方正富邦,159961,Founder Fubon SZSE 100 ETF,SZSE,fund,etf,CNE100003FZ5,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159964,SZSE,ETF,创业板ETF平安,159964,PING AN GEM Exchange Traded Fund,SZSE,fund,etf,CNE100003T70,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159965,SZSE,ETF,央视50ETF国联,159965,Zhongrong CCTV 50 Exchange Traded Fund,SZSE,fund,etf,CNE100003T88,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159966,SZSE,ETF,创业板价值ETF华夏,159966,China AMC GEM Low Wave Blue Chip Trading Open Index Fund,SZSE,fund,etf,CNE100003T96,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159967,SZSE,ETF,创业板成长ETF华夏,159967,ChinaAMC SZSE ChiNext Momentum Growth Exchange Traded Fund Units,SZSE,fund,etf,CNE100003TB7,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159968,SZSE,ETF,中证500ETF博时,159968,Bosera CSI Smallcap 500 Index ETF,SZSE,fund,etf,CNE100003TC5,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159970,SZSE,ETF,深100ETF工银,159970,ICBCCS Shenzhen Stock Exchange 100 ETF Fund,SZSE,fund,etf,CNE100003TF8,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159971,SZSE,ETF,创业板ETF富国,159971,Fullgoal ChiNext Index ETF,SZSE,fund,etf,CNE100003TG6,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159972,SZSE,ETF,5年地方债ETF鹏华,159972,Penghua CSI 5 Years Local government bond transaction open index securities investment fund Units,SZSE,fund,etf,CNE100003TH4,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
159973,SZSE,ETF,民企ETF弘毅远方,159973,Hony Horizon CNI Private-owned Leading 100 ETF,SZSE,fund,etf,CNE100004B95,Miscellaneous,Investment Trusts/Mutual Funds,China,False,True,accept
