ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
USSE,NYSE ARCA,Segall Bryant & Hamill Trust,USSE,Segall Bryant & Hamill Select Equity ETF,AMEX,fund,etf,US81580H4496,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
VANG11,B3,ICATU VANGUARDA INCENTIVADO EM INFRAESTRUTURA,VANG11,Icatu Vanguarda Incentivado Em Infraestrutura Fic De Fi Rf Cp Lp - Resp. Limitada,BMFBOVESPA,fund,mutual,BRVANGCTF004,,,asset_type_mismatch
VCD,ASX,VICINITY CENTRES TRUST,,,,,,,,,no_tradingview_match
WAGN,NYSE,Pabrai Wagons ETF,WAGN,Pabrai Wagons ETF,NYSE,fund,etf,US74316P5382,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
WAMA,NASDAQ,WisdomTree US Adaptive Moving Average Fund,WAMA,WisdomTree US Adaptive Moving Average Fund,NASDAQ,fund,etf,US97717Y2202,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
WINN,NYSE,Harbor Long-Term Growers ETF,WINN,Harbor Long-Term Growers ETF,NYSE,fund,etf,US41151J4067,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
WT,NYSE,WisdomTree Inc.,WT,"WisdomTree, Inc.",NYSE,stock,common,US97717P1049,,,asset_type_mismatch
XACT-NORDE,STO,XACT NORDEN,,,,,,,,,no_tradingview_match
XD12,LSE,X SDG 12 CIRCULAR ECONOMY,,,,,,,,,no_tradingview_match
XFRD,XETRA,db Physical Rhodium ETC (EUR),,,,,,,,,no_tradingview_match
XPAY,NYSE ARCA,Roundhill ETF Trust,XPAY,Roundhill S&P 500 Target 20 Managed Distribution ETF,AMEX,fund,etf,US77926X8589,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
YFYA,NYSE ARCA,Yields for You Strategy A ETF,YFYA,Yields for You Income Strategy A ETF,AMEX,fund,etf,US53656G3570,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
YNOT,NASDAQ,Horizon Digital Frontier ETF,YNOT,Horizon Digital Frontier ETF,NASDAQ,fund,etf,US44053A4994,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
YYYM,NYSE ARCA,Amplify ETF Trust,YYYM,Amplify Municipal CEF High Income ETF,AMEX,fund,etf,US0321083422,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
ZPW,TSX,BMO US Put Write ETF,ZPW,BMO US Put Write ETF,TSX,fund,etf,CA05581B1013,c05f85d35d1cd0be6ebb2af4be16e06a,Equity,accept
