ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_isin,tv_sector,tv_industry,sector_update,decision
AFV.P,TSXV,Apolo V Acquisition Corp.,,,,,,,,,no_tradingview_match
AGBK4,B3,BANCO AGIBANK S.A.,,,,,,,,,no_tradingview_match
AGET,TSXV,AGEDB Technology Ltd.,AGET,AGEDB Technology Ltd,TSXV,stock,CA00844N2086,Finance,Financial Conglomerates,,unsupported_sector
AGMR,TSXV,Silver Mountain Resources Inc.,,,,,,,,,no_tradingview_match
AGRA4,B3,AGRALE S/A,,,,,,,,,no_tradingview_match
AGVI,LSE,Aberforth Geared Value &,AGVI,Aberforth Geared Value & Income Trust PLC,LSE,fund,GB00BPJMQ253,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
AGZI,LSE,Aberforth Geared Value & Income Trust plc,AGZI,Aberforth Geared Value & Income Trust PLC Accum Shs -ZDP- GBP,LSE,fund,GB00BPJMQ360,Miscellaneous,Investment Trusts/Mutual Funds,,asset_type_mismatch
ALBH,LSE,ALUMINIUM BAHRAIN B.S.C. GDR (EACH REPR 1/5 ORD) (REG S),,,,,,,,,no_tradingview_match
ALBT.P,TSXV,Albatros Acquisition Corporation Inc.,ALBT.P,"Albatros Acquisition Corp., Inc.",TSXV,stock,CA01260K1084,Finance,Financial Conglomerates,,unsupported_sector
ALDD.P,TSXV,ALDD Ventures Corp.,ALDD.P,ALDD Ventures Corp,TSXV,stock,CA00160Y1016,Finance,Financial Conglomerates,,unsupported_sector
ALFA-UN,TSXV,Margaux Real Estate Investment Trust,ALFA.UN,Margaux Real Estate Investment Trust,TSXV,stock,CA56660A2092,Finance,Financial Conglomerates,,unsupported_sector
ALTR.P,TSXV,Alterego Ventures 24 Corp.,ALTR.P,Alterego Ventures 24 Corp,TSXV,stock,CA02157H1091,Finance,Financial Conglomerates,,unsupported_sector
AMCO,LSE,Amcomri Group plc,AMCO,Amcomri Group Plc,LSE,stock,GB00BMBWCV32,Finance,Financial Conglomerates,,unsupported_sector
AMG.P,TSXV,AMG Acquisition Corp.,AMG.P,AMG Acquisition Corp.,TSXV,stock,CA0311602035,Finance,Financial Conglomerates,,unsupported_sector
AMV.P,TSXV,AMV II Capital Corporation,AMV.P,AMV II Capital Corporation,TSXV,stock,CA00181V1022,Finance,Financial Conglomerates,,unsupported_sector
AMYA.P,TSXV,Amaya Big Sky Capital Corp.,AMYA.P,Amaya Big Sky Capital Corp.,TSXV,stock,CA02315A1030,Finance,Financial Conglomerates,,unsupported_sector
AMZG3,B3,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,no_tradingview_match
AOCC.P,TSXV,Artrari One Capital Corp.,AOCC.P,Artrari One Capital Corp,TSXV,stock,CA0431481054,Finance,Financial Conglomerates,,unsupported_sector
AQR.P,TSXV,Anquiro Ventures Ltd.,,,,,,,,,no_tradingview_match
ARGH,TSXV,Argo Corporation,ARGH,Argo Corporation,TSXV,stock,CA03990E1051,Technology Services,Internet Software/Services,,name_mismatch
AROC.P,TSXV,Argo Opportunity Corp.,AROC.P,Argo Opportunity Corp,TSXV,stock,CA04019W1005,Finance,Financial Conglomerates,,unsupported_sector
ATEA3,B3,ATHENA SAUDE BRASIL S.A.,,,,,,,,,no_tradingview_match
ATLH.P,TSXV,Atlantic Horizon Capital Corp.,ATLH.P,Atlantic Horizon Capital Corp.,TSXV,stock,CA0485891059,Finance,Financial Conglomerates,,unsupported_sector
ATR.P,TSXV,Aster Acquisition Corp.,ATR.P,Aster Acquisition Corp.,TSXV,stock,CA0459381079,Finance,Financial Conglomerates,,unsupported_sector
AUAU99,B3,UNIÃO PET PARTICIPAÇÕES S.A.,AUAU99,PETZCOBASI,BMFBOVESPA,stock,BRAUAUCDAXX1,,,,unsupported_sector
AUNK.P,TSXV,Ankh II Capital Inc.,AUNK.P,Ankh II Capital Inc,TSXV,stock,CA03539U1075,Finance,Financial Conglomerates,,unsupported_sector
