isin,listing_key,ticker,exchange,is_primary
AU0000000366,ASX::EM2,EM2,ASX,1
AU0000000366,OTC::EGMMF,EGMMF,OTC,0
AU0000003816,FSX::CKJ,CKJ,FSX,1
AU0000003816,XSTU::CKJ,CKJ,XSTU,0
AU0000003816,OTC::CVUEF,CVUEF,OTC,0
AU0000003DP6,ASX::3DP,3DP,ASX,1
AU0000003DP6,OTC::PTRRF,PTRRF,OTC,0
AU0000004DS8,ASX::4DS,4DS,ASX,1
AU0000004DS8,OTC::FRDSF,FRDSF,OTC,0
AU0000005159,ASX::JMS,JMS,ASX,1
AU0000005159,FSX::LGU,LGU,FSX,0
AU0000006124,ASX::ACF,ACF,ASX,1
AU0000006124,FSX::59Y,59Y,FSX,0
AU00000088E2,ASX::88E,88E,ASX,1
AU00000088E2,LSE::88E,88E,LSE,0
AU00000088E2,OTC::EEENF,EEENF,OTC,0
AU00000088E2,FSX::POQ,POQ,FSX,0
AU00000088E2,XSTU::POQ,POQ,XSTU,0
AU000000A3D7,ASX::A3D,A3D,ASX,1
AU000000A3D7,FSX::0FR,0FR,FSX,0
AU000000AAC9,ASX::AAC,AAC,ASX,1
AU000000AAC9,OTC::AAYYY,AAYYY,OTC,0
AU000000AAC9,OTC::ASAGF,ASAGF,OTC,0
AU000000AAC9,FSX::AY5,AY5,FSX,0
AU000000ACR3,ASX::ACR,ACR,ASX,1
AU000000ACR3,OTC::ARUXF,ARUXF,OTC,0
AU000000ACR3,FSX::FJY,FJY,FSX,0
AU000000ACS1,ASX::ACS,ACS,ASX,1
AU000000ACS1,FSX::A2R,A2R,FSX,0
AU000000ACW3,ASX::ACW,ACW,ASX,1
AU000000ACW3,FSX::3AC,3AC,FSX,0
AU000000ACW3,OTC::ATGGF,ATGGF,OTC,0
AU000000AD88,ASX::AD8,AD8,ASX,1
AU000000AD88,OTC::AUDGF,AUDGF,OTC,0
AU000000ADD1,ASX::ADD,ADD,ASX,1
AU000000ADD1,OTC::ADRLF,ADRLF,OTC,0
AU000000ADH2,ASX::ADH,ADH,ASX,1
AU000000ADH2,FSX::1FQ,1FQ,FSX,0
AU000000ADN0,ASX::ADN,ADN,ASX,1
AU000000ADN0,OTC::ANDMF,ANDMF,OTC,0
AU000000ADX9,ASX::ADX,ADX,ASX,1
AU000000ADX9,OTC::ADXRF,ADXRF,OTC,0
AU000000ADX9,FSX::GHU,GHU,FSX,0
AU000000ADX9,XSTU::GHU,GHU,XSTU,0
AU000000ADY7,ASX::ADY,ADY,ASX,1
AU000000ADY7,FSX::AHS,AHS,FSX,0
AU000000ADY7,XSTU::AHS,AHS,XSTU,0
AU000000AEE7,ASX::AEE,AEE,ASX,1
AU000000AEE7,LSE::AURA,AURA,LSE,0
AU000000AEE7,OTC::AUEEF,AUEEF,OTC,0
AU000000AEE7,FSX::VU1,VU1,FSX,0
AU000000AEF4,ASX::AEF,AEF,ASX,1
AU000000AEF4,FSX::1OP,1OP,FSX,0
AU000000AEV1,ASX::AEV,AEV,ASX,1
AU000000AEV1,OTC::MMMKF,MMMKF,OTC,0
AU000000AGD4,ASX::AGD,AGD,ASX,1
AU000000AGD4,TSXV::AGLD,AGLD,TSXV,0
AU000000AGD4,OTC::AGLDF,AGLDF,OTC,0
AU000000AGE2,ASX::AGE,AGE,ASX,1
AU000000AGE2,OTC::ALGEF,ALGEF,OTC,0
AU000000AGI3,ASX::AGI,AGI,ASX,1
AU000000AGI3,OTC::AINSF,AINSF,OTC,0
AU000000AGL7,ASX::AGL,AGL,ASX,1
AU000000AGL7,OTC::AGLNF,AGLNF,OTC,0
