listing_key,ticker,exchange,isin,wkn,figi,cik,lei,figi_source,cik_source,lei_source
SZSE::000514,000514,SZSE,CNE0000004R8,,BBG000BZB1D0,,,OpenFIGI,,
SZSE::000516,000516,SZSE,CNE000000016,,BBG000BZGHP7,,,OpenFIGI,,
SZSE::000517,000517,SZSE,CNE0000000R6,,BBG000BZCW41,,,OpenFIGI,,
SZSE::000518,000518,SZSE,CNE0000001P8,,BBG000BZCCZ1,,,OpenFIGI,,
SZSE::000519,000519,SZSE,CNE000000198,,BBG000BZ9NC6,,,OpenFIGI,,
HKEX::00052,00052,HKEX,BMG3305Y1619,,BBG000BG5MW2,,,OpenFIGI,,
SZSE::000521,000521,SZSE,CNE000000BT4,,BBG000BZC568,,,OpenFIGI,,
SZSE::000523,000523,SZSE,CNE0000005T1,,BBG000BZCNQ7,,,OpenFIGI,,
SZSE::000524,000524,SZSE,CNE000000651,,BBG000BZBS14,,,OpenFIGI,,
SZSE::000525,000525,SZSE,CNE0000002Z5,,BBG000BZCTM8,,,OpenFIGI,,
SZSE::000526,000526,SZSE,CNE0000005F0,,BBG000BZGGD2,,,OpenFIGI,,
SZSE::000528,000528,SZSE,CNE000000DB8,,BBG000BZBKW7,,,OpenFIGI,,
SZSE::000529,000529,SZSE,CNE0000002B6,,BBG000BZBHV5,,,OpenFIGI,,
HKEX::00053,00053,HKEX,BMG420981224,,BBG000BDVTY3,,3OIHUMDMI0Z4XVPQ8V78,OpenFIGI,,GLEIF
SZSE::000530,000530,SZSE,CNE000000DK9,,BBG000BZB667,,,OpenFIGI,,
SZSE::000531,000531,SZSE,CNE000000DS2,,BBG000BG4R52,,,OpenFIGI,,
SZSE::000532,000532,SZSE,CNE0000002C4,,BBG000BZGSN5,,,OpenFIGI,,
SZSE::000533,000533,SZSE,CNE0000003T6,,BBG000BZBR52,,,OpenFIGI,,
SZSE::000534,000534,SZSE,CNE0000004T4,,BBG000BZCWR6,,,OpenFIGI,,
SZSE::000536,000536,SZSE,CNE0000002D2,,BBG000BZCRN1,,,OpenFIGI,,
SZSE::000537,000537,SZSE,CNE000000271,,BBG000BZG9R3,,,OpenFIGI,,
SZSE::000538,000538,SZSE,CNE0000008X7,,BBG000BZGKX1,,,OpenFIGI,,
SZSE::000539,000539,SZSE,CNE0000006J0,,BBG000BZBH09,,,OpenFIGI,,
KRX::000540,000540,KRX,KR7000540005,,BBG000BDT257,,,OpenFIGI,,
SZSE::000541,000541,SZSE,CNE000000DN3,,BBG000BZB8J9,,,OpenFIGI,,
