listing_key,ticker,exchange,asset_type,isin,instrument_group_key,instrument_scope,scope_reason,primary_listing_key
HKEX::06031,06031,HKEX,Stock,CNE1000075S4,CNE1000075S4,core,primary_listing,HKEX::06031
HKEX::06033,06033,HKEX,Stock,KYG8741M1197,KYG8741M1197,core,primary_listing,HKEX::06033
HKEX::06036,06036,HKEX,Stock,KYG047181055,KYG047181055,core,primary_listing,HKEX::06036
HKEX::06038,06038,HKEX,Stock,KYG345141025,KYG345141025,core,primary_listing,HKEX::06038
HKEX::06049,06049,HKEX,Stock,CNE100003PV3,CNE100003PV3,core,primary_listing,HKEX::06049
HKEX::06055,06055,HKEX,Stock,HK0000503208,HK0000503208,core,primary_listing,HKEX::06055
HKEX::06058,06058,HKEX,Stock,KYG212101029,KYG212101029,core,primary_listing,HKEX::06058
HKEX::06060,06060,HKEX,Stock,CNE100002QY7,CNE100002QY7,core,primary_listing,HKEX::06060
HKEX::06063,06063,HKEX,Stock,KYG5656N1088,KYG5656N1088,core,primary_listing,HKEX::06063
HKEX::06066,06066,HKEX,Stock,CNE100002B89,CNE100002B89,core,primary_listing,HKEX::06066
HKEX::06068,06068,HKEX,Stock,KYG972281037,KYG972281037,core,primary_listing,HKEX::06068
HKEX::06069,06069,HKEX,Stock,KYG8116R1074,KYG8116R1074,core,primary_listing,HKEX::06069
HKEX::06078,06078,HKEX,Stock,KYG4712E1035,KYG4712E1035,core,primary_listing,HKEX::06078
HKEX::06080,06080,HKEX,Stock,KYG970471077,KYG970471077,core,primary_listing,HKEX::06080
HKEX::06082,06082,HKEX,Stock,CNE100007DD8,CNE100007DD8,core,primary_listing,HKEX::06082
HKEX::06083,06083,HKEX,Stock,KYG9774T1040,KYG9774T1040,core,primary_listing,HKEX::06083
HKEX::06086,06086,HKEX,Stock,KYG3314S1066,KYG3314S1066,core,primary_listing,HKEX::06086
HKEX::06088,06088,HKEX,Stock,KYG3R83K1037,KYG3R83K1037,core,primary_listing,HKEX::06088
HKEX::06090,06090,HKEX,Stock,KYG1736B1077,KYG1736B1077,core,primary_listing,HKEX::06090
HKEX::06093,06093,HKEX,Stock,KYG4420L1005,KYG4420L1005,core,primary_listing,HKEX::06093
HKEX::06098,06098,HKEX,Stock,KYG2453A1085,KYG2453A1085,core,primary_listing,HKEX::06098
HKEX::06099,06099,HKEX,Stock,CNE1000029Z6,CNE1000029Z6,core,primary_listing,HKEX::06099
HKEX::06100,06100,HKEX,Stock,KYG8919T1022,KYG8919T1022,core,primary_listing,HKEX::06100
HKEX::06108,06108,HKEX,Stock,BMG647461372,BMG647461372,core,primary_listing,HKEX::06108
HKEX::06110,06110,HKEX,Stock,KYG8924B1041,KYG8924B1041,core,primary_listing,HKEX::06110
HKEX::06113,06113,HKEX,Stock,KYG9350R1002,KYG9350R1002,core,primary_listing,HKEX::06113
HKEX::06117,06117,HKEX,Stock,CNE100003KK7,CNE100003KK7,core,primary_listing,HKEX::06117
HKEX::06118,06118,HKEX,Stock,KYG0632L1023,KYG0632L1023,core,primary_listing,HKEX::06118
HKEX::06119,06119,HKEX,Stock,KYG888051094,KYG888051094,core,primary_listing,HKEX::06119
HKEX::06123,06123,HKEX,Stock,KYG9877D1051,KYG9877D1051,core,primary_listing,HKEX::06123
HKEX::06127,06127,HKEX,Stock,CNE100004BP3,CNE100004BP3,core,primary_listing,HKEX::06127
HKEX::06128,06128,HKEX,Stock,KYG4066M1151,KYG4066M1151,core,primary_listing,HKEX::06128
HKEX::06133,06133,HKEX,Stock,KYG9381Y1089,KYG9381Y1089,core,primary_listing,HKEX::06133
