ticker,exchange,asset_type,name,b3_code,b3_name,b3_sector_pt,b3_subsector,b3_segment,sector_update,decision
GPAR3,B3,Stock,CIA CELG DE PARTICIPACOES - CELGPAR,GPAR,CELGPAR,Utilidade Pública,Energia Elétrica,Energia Elétrica,Utilities,accept
GPLA5,B3,Stock,GEPLAN HOTEIS S.A.,GPLA,,,,,,no_b3_code_match
GUNI3,B3,Stock,GRUPO UNI.CO S.A.,GUNI,,,,,,no_b3_code_match
HCAR3,B3,Stock,HOSPITAL CARE CALEDONIA S.A.,HCAR,,,,,,no_b3_code_match
HEDA3,B3,Stock,HEDERA INVESTIMENTOS E PARTICIPAÇÕES S.A,HEDA,,,,,,no_b3_code_match
HETA3,B3,Stock,HERCULES S.A. FABRICA DE TALHERES,HETA,HERCULES,Consumo Cíclico,Utilidades Domésticas,Utensílios Domésticos,Consumer Discretionary,accept
HLJP3,B3,Stock,HOTEL LAJE DE PEDRA S.A.,HLJP,,,,,,no_b3_code_match
HMOB3,B3,Stock,HMOBI PARTICIPAÇÕES S.A.,HMOB,HMOBI S.A,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Industrials,accept
HOAM5,B3,Stock,CIA TROPICAL DE HOTEIS DA AMAZONIA,HOAM,,,,,,no_b3_code_match
HOAM6,B3,Stock,CIA TROPICAL DE HOTEIS DA AMAZONIA,HOAM,,,,,,no_b3_code_match
ICBR3,B3,Stock,INTERCEMENT BRASIL S.A.,ICBR,,,,,,no_b3_code_match
IGSN3,B3,Stock,IGUA SANEAMENTO S.A.,IGSN,IGUA SA,Utilidade Pública,Água e Saneamento,Água e Saneamento,Utilities,accept
INNC3,B3,Stock,INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.,INNC,,,,,,no_b3_code_match
IPNN3,B3,Stock,TESTE IPN VS SA,IPNN,,,,,,no_b3_code_match
IVLG3B,B3,Stock,INVITEL LEGACY S.A.,IVLG,,,,,,no_b3_code_match
IVPR3B,B3,Stock,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,IVPR,INVEPAR,Bens Industriais,Transporte,Serviços de Apoio e Armazenagem,Industrials,accept
