financialdata_symbol,base_ticker,suffix,mapped_exchange,registrant_name,source_confidence,review_needed,observed_at,match_status,recommended_action,current_universe,review_scope,quality_gate,listing_keys,matched_names,same_ticker_listing_keys,same_ticker_exchanges,name_match_count,name_mismatch_count
BBDC3.SA,BBDC3,.SA,B3,Banco Bradesco S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BBDC3,BCO BRADESCO S.A.,B3::BBDC3,B3,1,0
BEEF3.SA,BEEF3,.SA,B3,Minerva Foods,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BEEF3,MINERVA S.A.,B3::BEEF3,B3,1,0
BEES3.SA,BEES3,.SA,B3,Banestes S.A. - Banco do Estado do Espírito Santo,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BEES3,BANESTES S.A. - BCO EST ESPIRITO SANTO,B3::BEES3,B3,1,0
BHIA3.SA,BHIA3,.SA,B3,Grupo Casas Bahia S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BHIA3,GRUPO CASAS BAHIA S.A.,B3::BHIA3,B3,1,0
BNBR3.SA,BNBR3,.SA,B3,Banco do Nordeste do Brasil S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BNBR3,BCO NORDESTE DO BRASIL S.A.,B3::BNBR3,B3,1,0
BPAC11.SA,BPAC11,.SA,B3,Banco BTG Pactual S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
BPAN4.SA,BPAN4,.SA,B3,Banco Pan S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
BRAP3.SA,BRAP3,.SA,B3,Bradespar S.A,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BRAP3,BRADESPAR S.A.,B3::BRAP3,B3,1,0
BRFS3.SA,BRFS3,.SA,B3,BRF S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
BRKM3.SA,BRKM3,.SA,B3,Braskem S.A,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BRKM3,BRASKEM S.A.,B3::BRKM3,B3,1,0
BRSR3.SA,BRSR3,.SA,B3,Banco do Estado do Rio Grande do Sul S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BRSR3,BCO ESTADO DO RIO GRANDE DO SUL S.A.,B3::BRSR3,B3,1,0
BSLI3.SA,BSLI3,.SA,B3,BRB Banco de Brasília S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::BSLI3,BRB BCO DE BRASILIA S.A.,B3::BSLI3,B3,1,0
CAMB3.SA,CAMB3,.SA,B3,Penalty,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_mismatch,review_name_mismatch_before_any_update,true,name_mismatch_review,blocked_name_mismatch,B3::CAMB3,CAMBUCI S.A.,B3::CAMB3,B3,0,1
CCRO3.SA,CCRO3,.SA,B3,CCR S.A.,secondary_review,true,2026-04-17T07:41:14Z,missing_from_database,review_missing_listing_no_isin_from_secondary_source,true,current_exchange_gap,needs_official_source_or_isin,,,,,0,0
CGAS3.SA,CGAS3,.SA,B3,Companhia de Gás de São Paulo - Comgás,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CGAS3,CIA GAS DE SAO PAULO - COMGAS,B3::CGAS3,B3,1,0
CLSC3.SA,CLSC3,.SA,B3,Centrais Elétricas de Santa Catarina S.A.,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CLSC3,CENTRAIS ELET DE SANTA CATARINA S.A.,B3::CLSC3,B3,1,0
CMIG3.SA,CMIG3,.SA,B3,CEMIG,secondary_review,true,2026-04-17T07:41:14Z,matched_exchange_name_ok,keep_as_secondary_reference,true,secondary_reference,usable_secondary_reference,B3::CMIG3,CIA ENERGETICA DE MINAS GERAIS - CEMIG,B3::CMIG3,B3,1,0
