listing_key,action,ticker,exchange,asset_type,isin,old_name,new_name,source_key,reference_scope,source_url,observation_id,evidence_status
LSE::WXAG,proposed,WXAG,LSE,ETF,IE00BDVPNS35,WisdomTree Enhanced Commodity ex-Agriculture UCITS ETF USD Acc,WISDOMTREE ISSUER ICAV WISDOMTREE EN COM EXAG UCITS ETF USD ACC,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,d9d5b1593cf85fe0626f7229,active_official_exact_listing_isin_name
LSE::WXBT,proposed,WXBT,LSE,ETF,GB00BJYDH287,WISDOMTREE ISSUER X LIMITED WIS,WISDOMTREE ISSUER X LIMITED WISDOMTREE PHYSICAL BITCOIN,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,2ebd1f45232fbd222b04f303,active_official_exact_listing_isin_name
LSE::XCO2,proposed,XCO2,LSE,ETF,LU1981859819,Lyxor Global Green Bond 1-10Y (DR) UCITS ETF - Acc GBP,MULTI UNITS LUXEMBOURG AMUNDI GLOBAL AGGREGATE PROCEEDS 1-10Y C,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,67fca0572f167b0f661cde92,active_official_exact_listing_isin_name
LSE::XCOG,proposed,XCOG,LSE,ETF,LU1981860585,Lyxor Global Green Bond 1-10Y (DR) UCITS ETF - Monthly Hedged to GBP Dist,MULTI UNITS LUXEMBOURG AMUNDI GLOBAL AGGREGATE PROCEEDS GBP H,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,e49f78f6c67094bb76445b3c,active_official_exact_listing_isin_name
LSE::XCOU,proposed,XCOU,LSE,ETF,LU1981860239,Lyxor Global Green Bond 1-10Y (DR) UCITS ETF - Monthly Hedged to USD Acc,MULTI UNITS LUXEMBOURG AMUNDI GLOBAL AGGREGATE PROCEEDS USD H,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,663140ccff87ce27571aa9ab,active_official_exact_listing_isin_name
LSE::XDDX,proposed,XDDX,LSE,ETF,LU0838782315,Xtrackers DAX Income UCITS ETF 1D,XTRACKERS X DAX ESG SCREENED UCITS ETF,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,f4d949b8273396f46fe8c165,active_official_exact_listing_isin_name
LSE::XDEG,proposed,XDEG,LSE,ETF,IE00BM67HJ62,Xtrackers MSCI Emerging Markets ESG Screened UCITS ETF 1C USD,XTRACKERS (IE) PLC X MSCI EM EX CHINA UCITS,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,73eb18a8ec6d10b3782eaaf7,active_official_exact_listing_isin_name
LSE::XDEX,proposed,XDEX,LSE,ETF,IE00BM67HJ62,db x-trackers FTSE All-World ex UK UCITS,XTRACKERS (IE) PLC X MSCI EM EX CHINA UCITS,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,0e46bc4fec4d420574790fd3,active_official_exact_listing_isin_name
LSE::XDNS,proposed,XDNS,LSE,ETF,IE00BPVLQD13,Xtrackers MSCI Japan ESG Screened UCITS ETF 1D,XTRACKERS (IE) PLC X JPX NIKKEI 400,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,72e53e61333941b69511da8a,active_official_exact_listing_isin_name
LSE::XDNY,proposed,XDNY,LSE,ETF,IE00BPVLQD13,Xtrackers MSCI Japan ESG Screened UCITS ETF 1D,XTRACKERS (IE) PLC X JPX NIKKEI 400,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,1f48e478c56568971f334b3b,active_official_exact_listing_isin_name
LSE::XDPG,proposed,XDPG,LSE,ETF,IE00BM67HX07,Xtrackers (IE) Public Limited Company - Xtrackers S&P 500 UCITS ETF,XTRACKERS (IE) PLC X S&P 500 GBP,lse_price_explorer,exchange_directory,https://www.londonstockexchange.com/live-markets/market-data-dashboard/price-explorer,2bec6497246831049fb7ec80,active_official_exact_listing_isin_name
