contract_id,contract_key,exchange,asset_type,claim_type,venue_status,source_keys,reference_scopes,denominator_method,denominator,observed_reference_keys,covered_reference_keys,missing_reference_keys,identity_conflict_keys,unclassified_keys,recall_pct,minimum_recall_pct,freshness_status,license_status,contract_status,freshness_failures,license_failures,required_next_action
47ad477a97fcda0ec690ab9a,NYSE MKT::Stock,NYSE MKT,Stock,official_full,official_full,nasdaq_other_listed,exchange_directory,exchange_audit_official_active_product_rows,307,307,218,89,10,0,71.009772,99.5,pass,fail,fail_identity_conflict,,nasdaq_other_listed: license_status is not verified_open,resolve the failing contract evidence before stable release
0f63a209a55d40025f9227fd,NZX::ETF,NZX,ETF,official_full,official_full,nzx_instruments,exchange_directory,exchange_audit_official_active_product_rows,44,44,20,24,0,0,45.454545,99.5,fail,fail,fail_freshness,nzx_instruments: snapshot age 12.18d exceeds 7d SLA,nzx_instruments: license_status is not verified_open,resolve the failing contract evidence before stable release
754dc57a6981f8e9991bae79,NZX::Stock,NZX,Stock,official_full,official_full,nzx_instruments,exchange_directory,exchange_audit_official_active_product_rows,128,128,22,106,0,0,17.1875,99.5,fail,fail,fail_freshness,nzx_instruments: snapshot age 12.18d exceeds 7d SLA,nzx_instruments: license_status is not verified_open,resolve the failing contract evidence before stable release
186ffdc4fbb6577779cc769c,OSL::ETF,OSL,ETF,official_full,official_full,euronext_etfs,exchange_directory,exchange_audit_official_active_product_rows,2,2,2,0,0,0,100.0,99.5,pass,fail,fail_license,,euronext_etfs: license_status is not verified_open,resolve the failing contract evidence before stable release
c67b427264cf8689622304fb,OSL::Stock,OSL,Stock,official_full,official_full,euronext_equities,exchange_directory,exchange_audit_official_active_product_rows,294,294,282,12,0,0,95.918367,99.5,pass,fail,fail_license,,euronext_equities: license_status is not verified_open,resolve the failing contract evidence before stable release
5869404e9ec066ef47ef591a,OTC::ETF,OTC,ETF,official_full,official_full,otc_markets_security_profile|otc_markets_stock_screener|sec_company_tickers_exchange,exchange_directory|listed_companies_subset|security_lookup_subset,exchange_audit_official_active_product_rows,437,377,63,374,168,0,14.416476,99.5,fail,fail,fail_identity_conflict,otc_markets_stock_screener: latest refresh is unavailable,otc_markets_security_profile: license_status is not verified_open | otc_markets_stock_screener: license_status is not verified_open,resolve the failing contract evidence before stable release
fe5e6137fc31a9d1b08c1a4c,OTC::Stock,OTC,Stock,official_full,official_full,otc_markets_security_profile|otc_markets_stock_screener|sec_company_tickers_exchange,exchange_directory|listed_companies_subset|security_lookup_subset,exchange_audit_official_active_product_rows,14799,12065,6844,7955,1971,0,46.246368,99.5,fail,fail,fail_identity_conflict,otc_markets_stock_screener: latest refresh is unavailable,otc_markets_security_profile: license_status is not verified_open | otc_markets_stock_screener: license_status is not verified_open,resolve the failing contract evidence before stable release
c2e6351836330bda6e466e94,PSE::ETF,PSE,ETF,official_full,official_full,pse_listed_company_directory,exchange_directory,exchange_audit_official_active_product_rows,1,1,1,0,0,0,100.0,99.5,fail,fail,fail_freshness,pse_listed_company_directory: snapshot age 12.18d exceeds 7d SLA,pse_listed_company_directory: license_status is not verified_open,resolve the failing contract evidence before stable release
bac950c0c5c6c8af81061661,PSE::Stock,PSE,Stock,official_full,official_full,pse_listed_company_directory,exchange_directory,exchange_audit_official_active_product_rows,384,384,154,230,0,0,40.104167,99.5,fail,fail,fail_freshness,pse_listed_company_directory: snapshot age 12.18d exceeds 7d SLA,pse_listed_company_directory: license_status is not verified_open,resolve the failing contract evidence before stable release
50bc1b91bdceeb457ac91b90,PSE_CZ::Stock,PSE_CZ,Stock,official_partial,official_partial,pse_cz_shares_directory,listed_companies_subset,observed_partial_scope_keys,62,62,22,40,0,0,35.483871,,pass,fail,partial_scope_observed,,pse_cz_shares_directory: license_status is not verified_open,do not promote partial scope to a full completeness claim
