listing_key,ticker,exchange,isin,figi,requested_exchange_hint,openfigi_exch_code,openfigi_candidate_count,identifier_isin,listing_index_isin,existing_identifier_figi,existing_listing_index_figi,decision,reason,verification_evidence_required,openfigi_probe_context,existing_identifier_context,apply_gate_context
TSXV::VDO-H,VDO-H,TSXV,CA64151V2030,BBG000RLK215,CN,CN,18,CA64151V2030,CA64151V2030,BBG000RLK215,BBG000RLK215,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA64151V2030;listing_index_isin=CA64151V2030;existing_identifier_figi=BBG000RLK215;existing_listing_index_figi=BBG000RLK215,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VENT,VENT,TSXV,CA92281A1049,BBG0210MCKV4,CN,CN,18,CA92281A1049,CA92281A1049,BBG0210MCKV4,BBG0210MCKV4,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA92281A1049;listing_index_isin=CA92281A1049;existing_identifier_figi=BBG0210MCKV4;existing_listing_index_figi=BBG0210MCKV4,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VITA,VITA,TSXV,CA92847E1034,BBG00N9SK7S0,CN,CN,21,CA92847E1034,CA92847E1034,BBG00N9SK7S0,BBG00N9SK7S0,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA92847E1034;listing_index_isin=CA92847E1034;existing_identifier_figi=BBG00N9SK7S0;existing_listing_index_figi=BBG00N9SK7S0,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VLD,VLD,TSXV,CA9274481006,BBG01JPVS162,CN,CN,18,CA9274481006,CA9274481006,BBG01JPVS162,BBG01JPVS162,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA9274481006;listing_index_isin=CA9274481006;existing_identifier_figi=BBG01JPVS162;existing_listing_index_figi=BBG01JPVS162,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VMS,VMS,TSXV,CA92905U1066,BBG00FP2WG12,CN,CN,85,CA92905U1066,CA92905U1066,BBG00FP2WG12,BBG00FP2WG12,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=85,identifier_isin=CA92905U1066;listing_index_isin=CA92905U1066;existing_identifier_figi=BBG00FP2WG12;existing_listing_index_figi=BBG00FP2WG12,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VMXX,VMXX,TSXV,CA91914U1075,BBG00243PCZ2,CN,CN,21,CA91914U1075,CA91914U1075,BBG00243PCZ2,BBG00243PCZ2,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=21,identifier_isin=CA91914U1075;listing_index_isin=CA91914U1075;existing_identifier_figi=BBG00243PCZ2;existing_listing_index_figi=BBG00243PCZ2,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VQS,VQS,TSXV,CA91825V4001,BBG000BBY8S7,CN,CN,91,CA91825V4001,CA91825V4001,BBG000BBY8S7,BBG000BBY8S7,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=91,identifier_isin=CA91825V4001;listing_index_isin=CA91825V4001;existing_identifier_figi=BBG000BBY8S7;existing_listing_index_figi=BBG000BBY8S7,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VRB,VRB,TSXV,CA9214283066,BBG000BBGM79,CN,CN,99,CA9214283066,CA9214283066,BBG000BBGM79,BBG000BBGM79,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=99,identifier_isin=CA9214283066;listing_index_isin=CA9214283066;existing_identifier_figi=BBG000BBGM79;existing_listing_index_figi=BBG000BBGM79,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VTEN,VTEN,TSXV,CA91839J1049,BBG01JJB5WY9,CN,CN,18,CA91839J1049,CA91839J1049,BBG01JJB5WY9,BBG01JJB5WY9,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=18,identifier_isin=CA91839J1049;listing_index_isin=CA91839J1049;existing_identifier_figi=BBG01JJB5WY9;existing_listing_index_figi=BBG01JJB5WY9,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
TSXV::VVTM,VVTM,TSXV,CA91841T1084,BBG000K5J255,CN,CN,35,CA91841T1084,CA91841T1084,BBG000K5J255,BBG000K5J255,skip,identifier_figi_already_set_to_same_value,listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates,requested_exchange_hint=CN;openfigi_exch_code=CN;openfigi_figi_present=true;candidate_count=35,identifier_isin=CA91841T1084;listing_index_isin=CA91841T1084;existing_identifier_figi=BBG000K5J255;existing_listing_index_figi=BBG000K5J255,decision=skip;reason=identifier_figi_already_set_to_same_value;verification_evidence_required=listing_key_isin_exchange_hint_openfigi_figi_and_cross_isin_collision_gates
