listing_key,ticker,local_exchange,twelvedata_exchange,twelvedata_mic,local_name,twelvedata_name,local_figi,twelvedata_figi,twelvedata_type
SZSE::000589,000589,SZSE,SZSE,XSHE,Gui Zhou Tyre Co Ltd,"Guizhou Tyre Co., Ltd.",BBG000P67ZP6,BBG000P68232,Common Stock
SZSE::000591,000591,SZSE,SZSE,XSHE,CECEP Solar Energy Co Ltd,"Cecep Solar Energy Co., Ltd.",BBG000P662V3,BBG000P664B1,Common Stock
SZSE::000592,000592,SZSE,SZSE,XSHE,Zhongfu Straits Pingtan Development Co Ltd,"Zhongfu Straits Pingtan Development Co., Ltd.",BBG000P67QF7,BBG000P67RC8,Common Stock
SZSE::000593,000593,SZSE,SZSE,XSHE,Delong Composite Energy Group Co Ltd,"Delong Composite Energy Group Co., Ltd.",BBG000P64G35,BBG000P64GX2,Common Stock
SZSE::000595,000595,SZSE,SZSE,XSHE,Baota Industry Co Ltd,"Baota Industry Co., Ltd.",BBG000P6M8D2,BBG000P6M9D0,Common Stock
SZSE::000596,000596,SZSE,SZSE,XSHE,Anhui Gujing Distillery Co Ltd,"Anhui Gujing Distillery Co., Ltd.",BBG000P64227,BBG000P643J7,Common Stock
SZSE::000597,000597,SZSE,SZSE,XSHE,Northeast Pharmaceutical Group Co Ltd,"Northeast Pharmaceutical Group Co., Ltd.",BBG000P6F528,BBG000P6F699,Common Stock
SZSE::000598,000598,SZSE,SZSE,XSHE,Chengdu Xingrong Investment Co Ltd,Chengdu Xingrong Environment Co. Ltd.,BBG000HP61F0,BBG000HP6366,Common Stock
SZSE::000599,000599,SZSE,SZSE,XSHE,Qingdao Doublestar Co Ltd,"Qingdao Doublestar Co., Ltd.",BBG000GBW699,BBG000GBW7M2,Common Stock
SZSE::000600,000600,SZSE,SZSE,XSHE,Jointo Energy Investment Co Ltd Hebei,Jointo Energy Investment Company Limited,BBG000P6HQJ2,BBG000P6HR73,Common Stock
SZSE::000601,000601,SZSE,SZSE,XSHE,Guangdong Shaoneng Group Co Ltd,"Guangdong Shaoneng Group Co., Ltd.",BBG000P67W00,BBG000P67WK8,Common Stock
