ticker,exchange,asset_type,name,sec_cik,sec_ticker,sec_exchange,sec_name,sec_sic,sec_sic_description,sector_update,number_tokens_match,name_match,decision
DTZNY,OTC,Stock,Dotz Nano Ltd.,,,,,,,,False,False,no_sec_match
DURCF,OTC,Stock,DURATEC LTD,,,,,,,,False,False,no_sec_match
DWDZF,OTC,Stock,Jeotex Inc,,,,,,,,False,False,no_sec_match
DZGH,OTC,Stock,Da Zhong Trading Group Holding Company,,,,,,,,False,False,no_sec_match
EBCRY,OTC,Stock,Embracer Group AB/ADR,1969796,EBCRY,OTC,Embracer Group AB/ADR,,,,True,True,missing_sic
EBLMY,OTC,Stock,Etablissements Maurel & Prom S.A,,,,,,,,False,False,no_sec_match
ECGP,OTC,Stock,Envit Capital Group Inc,,,,,,,,False,False,no_sec_match
ECHQF,OTC,Stock,ECHOIQ LTD.,,,,,,,,False,False,no_sec_match
ECLP,OTC,Stock,Eclipsys Corp,,,,,,,,False,False,no_sec_match
ECMPF,OTC,Stock,EUROCOMMERCIAL PPTYS N V,,,,,,,,False,False,no_sec_match
EDRVY,OTC,Stock,EDP Renováveis S.A,,,,,,,,False,False,no_sec_match
EELFF,OTC,Stock,BARYS RESOURCES LTD,,,,,,,,False,False,no_sec_match
ELDCF,OTC,Stock,Electrum Discovery Corp.,,,,,,,,False,False,no_sec_match
ELEK,OTC,Stock,China Xuefeng Environmental Engineering Inc,,,,,,,,False,False,no_sec_match
EMETF,OTC,Stock,Canamera Energy Metals Corp.,,,,,,,,False,False,no_sec_match
EMPHF,OTC,Stock,Empatho Holdings Inc.,,,,,,,,False,False,no_sec_match
EMUSF,OTC,Stock,Electric Metals (USA) Limited,,,,,,,,False,False,no_sec_match
ENAFF,OTC,Stock,Enablence Technologies Inc,,,,,,,,False,False,no_sec_match
ENDI,OTC,Stock,ENDI Corp.,1908984,ENDI,OTC,ENDI Corp.,,,,True,False,name_mismatch
ENJPY,OTC,Stock,en-japan inc.,,,,,,,,False,False,no_sec_match
ENREF,OTC,Stock,Energix - Renewable Energies Ltd.,,,,,,,,False,False,no_sec_match
EOVBF,OTC,Stock,AirTrip Corp,,,,,,,,False,False,no_sec_match
EPOAY,OTC,Stock,Epiroc Aktiebolag,,,,,,,,False,False,no_sec_match
EQLCF,OTC,Stock,Invesco Canada Ltd.,,,,,,,,False,False,no_sec_match
EQTXF,OTC,Stock,Lake Winn Resources Corp,,,,,,,,False,False,no_sec_match
EREUF,OTC,Stock,EREUF,,,,,,,,False,False,no_sec_match
ERWWF,OTC,Stock,WEST COAST SILVER LTD,,,,,,,,False,False,no_sec_match
ESCSQ,OTC,Stock,Escalera Resources Co,,,,,,,,False,False,no_sec_match
EVCOU,OTC,Stock,Everest Consolidator Acquisition Corporation,,,,,,,,False,False,no_sec_match
EYUUF,OTC,Stock,Electricity Gnrtng NVtg,1562294,EYUUF,OTC,Electricity Generating Public Co Limited/ADR,,,,True,False,name_mismatch
EZRG,OTC,Stock,E-Waste Corp,,,,,,,,False,False,no_sec_match
FAHE,OTC,Stock,The Fahey Banking Company,,,,,,,,False,False,no_sec_match
FAURY,OTC,Stock,Faurecia S.E,,,,,,,,False,False,no_sec_match
FCHDF,OTC,Stock,Fairchild Gold Corp.,2048847,FCHDF,OTC,Fairchild Gold Corp.,,,,True,True,missing_sic
FDENF,OTC,Stock,LA FRANCAISE DE L ENERGIE,,,,,,,,False,False,no_sec_match
FDOGF,OTC,Stock,Friday's Dog Holdings Inc.,,,,,,,,False,False,no_sec_match
FEHTF,OTC,Stock,FAR EAST HOSPITALITY TR,,,,,,,,False,False,no_sec_match
FGFT,OTC,Stock,FG Fitness & Media Group Inc,,,,,,,,False,False,no_sec_match
FGHFF,OTC,Stock,Forte Group Holdings Inc.,,,,,,,,False,False,no_sec_match
FGPRB,OTC,Stock,Ferrellgas Partners L.P,,,,,,,,False,False,no_sec_match
FHHGF,OTC,Stock,Foschini Group Ltd (The),,,,,,,,False,False,no_sec_match
FHNPV,OTC,Stock,FHNPV,,,,,,,,False,False,no_sec_match
