ticker,name,exchange,asset_type,stock_sector,etf_category,country,country_code,isin,aliases,source_kind,source_exchange,source_mic,eodhd_exchange,eodhd_type,figi,lei,opendart_corp_code
3M0,Meiji Holdings Co. Ltd,FSX,Stock,,,Germany,DE,JP3918000005,"Meiji Holdings Co., Ltd.",stocks,FSX,XFRA,F,Common Stock,BBG000LPSLP6,,
3M0,Meiji Holdings Co Ltd,XSTU,Stock,,,Germany,DE,JP3918000005,"Meiji Holdings Co., Ltd.",stocks,XSTU,XSTU,STU,Common Stock,BBG000LPSLP6,,
3MB,GOODBYE KANSAS GROUP AB,FSX,Stock,,,Germany,DE,SE0010270793,Goodbye Kansas Group AB,stocks,FSX,XFRA,F,Common Stock,,,
3MC,Multiconsult ASA,FSX,Stock,,,Germany,DE,NO0010734338,,stocks,FSX,XFRA,F,Common Stock,BBG0099SBYV8,,
3MD,Conrad Asia Energy Ltd.,FSX,Stock,,,Germany,DE,AU0000240970,Conrad Asia Energy Ltd. Chess Depositary Interest,stocks,FSX,XFRA,F,Common Stock,BBG01G02X8K2,,
3MG,SJM Holdings Limited,FSX,Stock,,,Germany,DE,HK0880043028,SJM Holdings Ltd.,stocks,FSX,XFRA,F,Common Stock,BBG000SC0WN6,,
3MI,PageGroup plc,FSX,Stock,,,Germany,DE,GB0030232317,,stocks,FSX,XFRA,F,Common Stock,BBG000R432P6,,
3MJ,Major Drilling Group International Inc,XSTU,Stock,,,Germany,DE,CA5609091031,Major Drilling Group International Inc.,stocks,XSTU,XSTU,STU,Common Stock,BBG000R5BTL9,,
3MJ,Major Drilling Group International Inc,FSX,Stock,,,Germany,DE,CA5609091031,Major Drilling Group International Inc.,stocks,FSX,XFRA,F,Common Stock,BBG000R5BTL9,,
3ML,McLaren Resources Inc,FSX,Stock,,,Germany,DE,CA5817631099,McLaren Resources Inc.,stocks,FSX,XFRA,F,Common Stock,BBG000HXX252,,
3MU,Manitou BF SA,FSX,Stock,,,Germany,DE,FR0000038606,,stocks,FSX,XFRA,F,Common Stock,BBG000F61T22,,
3MU,Manitou BF SA,XSTU,Stock,,,Germany,DE,FR0000038606,,stocks,XSTU,XSTU,STU,Common Stock,BBG000F61T22,,
3MX0,Copper Quest Exploration Inc.,FSX,Stock,,,Germany,DE,CA2175231091,,stocks,FSX,XFRA,F,Common Stock,BBG00S01FJ98,,
3N4,China Nonferrous Mining Corporation Limited,XSTU,Stock,,,Germany,DE,HK0000112026,China Nonferrous Mining Corp Ltd,stocks,XSTU,XSTU,STU,Common Stock,BBG00366NQS0,,
3N7A,NEW PACIFIC METALS,FSX,Stock,,,Germany,DE,CA64782A1075,New Pacific Metals Corp.,stocks,FSX,XFRA,F,Common Stock,BBG000MFH9K1,,
3N8,Nabtesco Corp,XSTU,Stock,,,Germany,DE,JP3651210001,Nabtesco Corporation,stocks,XSTU,XSTU,STU,Common Stock,BBG000R5WBM4,,
3N8,Nabtesco Corporation,FSX,Stock,,,Germany,DE,JP3651210001,,stocks,FSX,XFRA,F,Common Stock,BBG000R5WBM4,,
3ND,NetDragon Websoft Holdings Limited,FSX,Stock,,,Germany,DE,KYG6427W1042,,stocks,FSX,XFRA,F,Common Stock,BBG000RZZ860,,
3NO0,Nostrum Oil & Gas PLC,FSX,Stock,,,Germany,DE,GB00BQVVS097,,stocks,FSX,XFRA,F,Common Stock,BBG00843GVW0,,
3NR,NRW Holdings Limited,FSX,Stock,,,Germany,DE,AU000000NWH5,,stocks,FSX,XFRA,F,Common Stock,BBG000TC5V16,,
3NW,NORTH WEST CO. (VV+CV.),FSX,Stock,,,Germany,DE,CA6632782083,The North West Company Inc.,stocks,FSX,XFRA,F,Common Stock,BBG00Y6DY4G7,,
3NY1,NYRSTAR,FSX,Stock,,,Germany,DE,BE0974294267,Nyrstar NV,stocks,FSX,XFRA,F,Common Stock,BBG000RN4TC8,,
3O40,Liberty Global Ltd.,FSX,Stock,,,Germany,DE,BMG611881274,Liberty Global plc,stocks,FSX,XFRA,F,Common Stock,BBG01KB6Y8P6,,
3O41,Liberty Global Ltd.,FSX,Stock,,,Germany,DE,BMG611881019,Liberty Global Plc,stocks,FSX,XFRA,F,Common Stock,BBG01KB8L0S0,,
3O5,GLORY LTD,FSX,Stock,,,Germany,DE,JP3274400005,Glory Ltd.,stocks,FSX,XFRA,F,Common Stock,BBG00VJ102R4,,
3O8,Omeros Corp,XSTU,Stock,,,Germany,DE,US6821431029,Omeros Corporation,stocks,XSTU,XSTU,STU,Common Stock,BBG000W2B186,,
3O8,Omeros Corporation,FSX,Stock,,,Germany,DE,US6821431029,,stocks,FSX,XFRA,F,Common Stock,BBG000W2B186,,
3OK,Constellium SE,FSX,Stock,,,Germany,DE,FR0013467479,,stocks,FSX,XFRA,F,Common Stock,BBG00803FQG4,,
3P51,PARKWAY LIFE REAL ESTATE,FSX,Stock,,,Germany,DE,SG1V52937132,Parkway Life Real Estate Investment Trust,stocks,FSX,XFRA,F,Common Stock,BBG000GTW8M1,,
3P7,Pandora A/S,FSX,Stock,,,Germany,DE,DK0060252690,,stocks,FSX,XFRA,F,Common Stock,BBG00171SJT4,,
3P71,Pandora A/S,FSX,Stock,,,Germany,DE,US6983413021,,stocks,FSX,XFRA,F,Common Stock,BBG01S7TL440,,
3PC,Cementir Holding N.V.,FSX,Stock,,,Germany,DE,NL0013995087,,stocks,FSX,XFRA,F,Common Stock,BBG000BPT063,,
3PL,Planet Fitness Inc,FSX,Stock,,,Germany,DE,US72703H1014,Planet Fitness Inc.,stocks,FSX,XFRA,F,Common Stock,BBG009R4GZH9,,
3PL,Planet Fitness Inc,XSTU,Stock,,,Germany,DE,US72703H1014,Planet Fitness Inc.,stocks,XSTU,XSTU,STU,Common Stock,BBG009R4GZH9,,
