batch_id,listing_key,ticker,exchange,asset_type,name,isin,requested_exchange_hint,openfigi_figi,openfigi_ticker,openfigi_exch_code,openfigi_name,openfigi_security_type,candidate_count,decision
canada-figi-0001,TSXV::TMS-H,TMS-H,TSXV,Stock,Targeted Microwave Solutions Inc,CA8761412011,CN,BBG0092LYDM1,TMS/H,CN,TARGETED MICROWAVE SOLUTIONS,Common Stock,81,accept
canada-figi-0001,TSXV::TNGD,TNGD,TSXV,Stock,Tiernan Gold Corp.,CA88650A1057,CN,BBG00Z1JVDZ8,TNGD,CN,TIERNAN GOLD CORP,Common Stock,21,accept
canada-figi-0001,TSXV::TNO-H,TNO-H,TSXV,Stock,Terreno Resources Corp,CA88145Y2050,CN,BBG000C3RQ48,TNO/H,CN,TERRENO RESOURCES CORP,Common Stock,18,accept
canada-figi-0001,TSXV::TNX,TNX,TSXV,Stock,TenX Protocols Inc.,CA8809451005,CN,BBG013G4DXD5,TNX,CN,TENX PROTOCOLS INC,Common Stock,42,accept
canada-figi-0001,TSXV::TOP.P,TOP.P,TSXV,Stock,Transition Opportunities Corp.,CA89370J1030,CN,BBG0149GP882,TOP/P,CN,TRANSITION OPPORTUNITIES COR,Common Stock,18,accept
canada-figi-0001,TSXV::TORC,TORC,TSXV,Stock,TinOne Resources Inc.,CA8875891092,CN,,,,,,0,no_openfigi_match
canada-figi-0001,TSXV::TOTC,TOTC,TSXV,Stock,Totec Resources Ltd.,CA89157M2040,CN,BBG018L06YG9,TOTC,CN,TOTEC RESOURCE LTD,Common Stock,45,accept
canada-figi-0001,TSXV::TRBC,TRBC,TSXV,Stock,Tribeca Resources Corporation,CA89602G1090,CN,BBG000BYSNG4,TRBC,CN,TRIBECA RESOURCES CORP,Common Stock,62,accept
canada-figi-0001,TSXV::TRV.P,TRV.P,TSXV,Stock,Treviso Capital Corp.,CA89532N1096,CN,BBG0135WDZB2,TRV/P,CN,TREVISO CAPITAL CORP,Common Stock,18,accept
canada-figi-0001,TSXV::TTGI,TTGI,TSXV,Stock,Turnium Technology Group Inc.,CA90043C1032,CN,BBG00JPRNY74,TTGI,CN,TURNIUM TECHNOLOGY GROUP INC,Common Stock,60,accept
