conflict_id,isin,listing_key,ticker,exchange,name,asset_type,action,reason,evidence_status,retained_isin
4709b2c6fbc8de9d92ad,CNE1000004D6,XSTU::YIZH,YIZH,XSTU,SINOPEC OILFIELD-H- (YIZH.SG),Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000004D6
e10c58c5571773241ca6,CNE1000004F1,HKEX::00598,00598,HKEX,SINOTRANS,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004F1
e10c58c5571773241ca6,CNE1000004F1,OTC::SNOTF,SNOTF,OTC,Sinotrans Limited,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004F1
e10c58c5571773241ca6,CNE1000004F1,XSTU::SIY,SIY,XSTU,SINOTRANS -H- (SIY.SG),Stock,quarantined_unresolved_identifier,"The conflicting family lacks a full identity name, so destructive action is not justified.",official_exact_listing_match,CNE1000004F1
dc7cf8f5f22ab79e148e,CNE1000004G9,FSX::TIA,TIA,FSX,Tianjin Capital Environmental Protection Group Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000004G9
dc7cf8f5f22ab79e148e,CNE1000004G9,HKEX::01065,01065,HKEX,TIANJIN CAPITAL,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000004G9
dc7cf8f5f22ab79e148e,CNE1000004G9,OTC::TNJIF,TNJIF,OTC,Tianjin Capital Environmental Protection Group Company Limited,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000004G9
60661aedcbc6f850cb5c,CNE1000004K1,FSX::TSI,TSI,FSX,Tsingtao Brewery Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000004K1
60661aedcbc6f850cb5c,CNE1000004K1,HKEX::00168,00168,HKEX,TSINGTAO BREW,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004K1
60661aedcbc6f850cb5c,CNE1000004K1,XSTU::TSI,TSI,XSTU,Tsingtao Brewery Company Limited,Stock,proposed_clear_conflicting_identifier,"A different full-name identity family is detected, but destructive changes require explicit apply mode.",official_exact_listing_match,CNE1000004K1
a7c9b1db8541782dbb57,CNE1000004S4,FSX::ZHJ,ZHJ,FSX,Zhejiang Expressway Co. Ltd,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000004S4
a7c9b1db8541782dbb57,CNE1000004S4,HKEX::00576,00576,HKEX,ZHEJIANGEXPRESS,Stock,quarantined_unresolved_identifier,The listing identity is unresolved; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000004S4
a7c9b1db8541782dbb57,CNE1000004S4,OTC::ZHEXF,ZHEXF,OTC,Zhejiang Expressway Co. Ltd,Stock,quarantined_unresolved_identifier,No single identity family has decisive listing-keyed evidence; the existing assertion is quarantined without mutation.,no_decisive_listing_keyed_evidence,CNE1000004S4
f77cfff3b7a3a45c0c6d,CNE1000004Y2,FSX::FZM,FZM,FSX,ZTE Corporation,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004Y2
f77cfff3b7a3a45c0c6d,CNE1000004Y2,HKEX::00763,00763,HKEX,ZTE,Stock,kept_listing_keyed_identifier,One coherent identity family has decisive listing-keyed evidence.,official_exact_listing_match,CNE1000004Y2
