listing_key,ticker,exchange,current_name,proposed_name,twelvedata_type,confidence,adjudication_decision,evidence_tier,figi_relation,openfigi_figi,local_figi,provider_supports_twelvedata,review_batch,metadata_update_reason
OTC::BIRNF,BIRNF,OTC,BC Iron Ltd.,BCI Minerals Limited,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000D32V70,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::BROGF,BROGF,OTC,BROGF,Brooge Energy Limited,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG00P35N4M1,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::COUTF,COUTF,OTC,China Outfitters Holdings Ltd,Huicheng International Holdings Co. Ltd.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG004FLC7W4,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::COWI,COWI,OTC,Coroware Inc,Carbonmeta Technologies Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000DNX294,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::DGWR,DGWR,OTC,Critic Clothing Inc,Deep Green Waste & Recycling Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000CVMD13,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::DHAWF,DHAWF,OTC,DAIWA HSE ASSET MGMT ASIA,Daiwa House Logistics Trust,REIT,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG01KXS7M28,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::DLAD,DLAD,OTC,Cabal Communications Corporation,DealerAdvance Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000F6B9S7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::EFRTF,EFRTF,OTC,Nexus Real Estate Investment Trust,Nexus Industrial REIT,REIT,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG0068TFW61,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::ENMI,ENMI,OTC,Energy Management International Inc,Dh Enchantment Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000C0KZQ7,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
OTC::FBGI,FBGI,OTC,First Shares Bancorp Inc,Foodbase Group Inc.,Common Stock,0.88,apply_twelvedata_name_identifier_supported,identifier,openfigi_only,BBG000BD2V70,,OpenFIGI,batch_a_us_core,Twelve Data source adjudication apply-ready name update package 2: OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only. decision=apply_twelvedata_name_identifier_supported; evidence_tier=identifier; figi_relation=openfigi_only; provider_supports_twelvedata=OpenFIGI; review_batch=batch_a_us_core.
