listing_key,ticker,exchange,current_name,twelvedata_name,twelvedata_type,type_scope,review_batch,name_score,adjudication_decision,apply_eligibility,evidence_tier,confidence,recommended_operation,source_gate,evidence_summary,provider_validation_status,provider_supports_twelvedata,provider_supports_local,provider_conflicts,openfigi_status,openfigi_figi,local_figi,figi_relation,venue_status,official_source_count,reference_scopes,verification_name_mismatch,masterfile_matches,reviewed_name_override,source_of_truth_outcome,source_of_truth_gate,deepseek_decision_candidate,deepseek_safe_action
OTC::UBEOF,UBEOF,OTC,Ube Industries Ltd,Ube Corporation,Common Stock,supported_core_stock_type,batch_a_us_core,0.353,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000D61LY6,BBG000D61LY6,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::URGYF,URGYF,OTC,Academy Metals Inc,Bedford Metals Corp,Common Stock,supported_core_stock_type,batch_a_us_core,0.571,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.88,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG001W2KPK7,,openfigi_only,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::USPCY,USPCY,OTC,China Strategic Technology Group Limited,USPACE Technology Group Limited Sponsored ADR,American Depositary Receipt,supported_core_stock_type,batch_a_us_core,0.551,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG0199N8QB1,BBG0199N8QB1,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::VBVBF,VBVBF,OTC,VERBIO Vereinigte BioEnergie AG,Verbio SE,Common Stock,supported_core_stock_type,batch_a_us_core,0.353,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000QSNQX0,BBG000QSNQX0,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::VIVHY,VIVHY,OTC,Vivendi SA PK,Vivendi SE Unsponsored ADR,American Depositary Receipt,supported_core_stock_type,batch_a_us_core,0.545,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG001D74422,BBG001D74422,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::VLTLF,VLTLF,OTC,Volt Lithium Corp.,LibertyStream Infrastructure Partners Inc.,Common Stock,supported_core_stock_type,batch_a_us_core,0.204,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000F67C69,BBG000F67C69,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,accepted_source_gap,Canonical stock sector only after exchange/name gate; no ticker/name-only inference.,needs_official_evidence,needs_official_evidence
OTC::VNTXF,VNTXF,OTC,FORTE GROUP HOLDINGS INC.,Vanta Holdings Inc.,Common Stock,supported_core_stock_type,batch_a_us_core,0.588,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.88,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG00PQCL407,,openfigi_only,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,accepted_source_gap,Canonical stock sector only after exchange/name gate; no ticker/name-only inference.,needs_official_evidence,needs_official_evidence
OTC::VTIAF,VTIAF,OTC,VITA 34 AG,FamiCord AG,Common Stock,supported_core_stock_type,batch_a_us_core,0.133,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000RN1P75,BBG000RN1P75,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
OTC::VVCHF,VVCHF,OTC,Viva China Holdings Limited,Viva Goods Company Ltd.,Common Stock,supported_core_stock_type,batch_a_us_core,0.378,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.88,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=openfigi_only.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG0033BHS69,,openfigi_only,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,accepted_source_gap,Canonical stock sector only after exchange/name gate; no ticker/name-only inference.,needs_official_evidence,needs_official_evidence
OTC::VYEY,VYEY,OTC,Victory Energy Corp,Victory Oilfield Tech Inc.,Common Stock,supported_core_stock_type,batch_a_us_core,0.571,apply_twelvedata_name_identifier_supported,apply_ready,identifier,0.91,build_metadata_name_update,OpenFIGI supports the Twelve Data name without conflicting with the local listing FIGI.,OpenFIGI supports Twelve Data name; FIGI relation=local_figi_match.,second_source_supports_twelvedata_name,OpenFIGI,,false,ok,BBG000DQK6S1,BBG000DQK6S1,local_figi_match,official_full,3,exchange_directory|listed_companies_subset|security_lookup_subset,952,7640,,,,needs_official_evidence,needs_official_evidence
