ticker,exchange,asset_type,name,tmx_symbol,tmx_name,tmx_exchange,tmx_sector,tmx_subsector,sector_update,decision
NVN.P,TSXV,Stock,Navion Capital II Inc.,NVN.P,Navion Capital II Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
NVS,TSX,Stock,Novartis CDR (CAD Hedged),NVS,Novartis CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
OAC.P,TSXV,Stock,Oa Capital Corp.,OAC.P,Oa Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
OCAP.P,TSXV,Stock,Ocean Shore Capital Corp.,OCAP.P,Ocean Shore Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
OKAI,TSXV,Stock,EvokAI Creative Labs Inc.,OKAI,EvokAI Creative Labs Inc.,TSXV,Life Sciences,,Health Care,accept
OPEN.P,TSXV,Stock,OpenSesame Acquisition Corp.,OPEN.P,OpenSesame Acquisition Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
ORAC,TSX,Stock,Oracle CDR (CAD Hedged),ORAC,Oracle CDR (CAD Hedged),TSX,CDR,,,unsupported_or_ambiguous_tmx_sector
PCAA.P,TSXV,Stock,PC 1 Corp.,PCAA.P,PC 1 Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
PCP.P,TSXV,Stock,Pender Street Capital Corp.,PCP.P,Pender Street Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
PCU,TSXV,Stock,Pecoy Copper Corp.,PCU,Pecoy Copper Corp.,TSXV,Mining,,Materials,accept
PDVN.P,TSXV,Stock,Pardus Ventures Inc.,PDVN.P,Pardus Ventures Inc.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
PGIC,TSX,Stock,Premium Global Income Split Corp.,PGIC,Premium Global Income Split Corp.,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
PINE-UN,TSXV,Stock,Pine Trail Real Estate Investment Trust,PINE,Pine Trail Real Estate Investment Trust,TSXV,Real Estate,,Real Estate,accept
PLXX.P,TSXV,Stock,Planet X II Capital Corp.,PLXX.P,Planet X II Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
PNTI.P,TSXV,Stock,Pentagon I Capital Corp.,PNTI.P,Pentagon I Capital Corp.,TSXV,CPC,,,unsupported_or_ambiguous_tmx_sector
POC.P,TSXV,Stock,POCML 7 Inc.,,,,,,,no_tmx_symbol_match
PRB,TSX,Stock,Probe Gold Inc.,,,,,,,no_tmx_symbol_match
PVF,TSXV,Stock,Partners Value Investments LP,PVF,Partners Value Investments LP,TSXV,Financial Services,,Financials,accept
PVIS,TSXV,Stock,Parvis Invest Inc.,PVIS,Parvis Invest Inc.,TSXV,Technology,,Information Technology,accept
PWF,TSX,Stock,Power Financial Corporation,PWF,Power Financial Corporation,TSX,Financial Services,,Financials,accept
PWI,TSX,Stock,Sustainable Power & Infrastructure Split Corp.,PWI,Power & Infrastructure Split Corp.,TSX,Closed-End Funds,,,unsupported_or_ambiguous_tmx_sector
QBR,TSX,Stock,Quebecor Inc.,QBR,Quebecor Inc.,TSX,Comm. & Media,,Communication Services,accept
