ticker,exchange,asset_type,name,sec_security_type,sec_name,sec_symbol,sec_isin_local,decision
CSC,SET,Stock,CROWN SEAL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ฝาจีบ จำกัด (มหาชน),CSC,TH0026010007,accept
CSR,SET,Stock,CITY SPORTS AND RECREATION PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เทพธานีกรีฑา จำกัด (มหาชน),CSR,TH0151010004,accept
CWT,SET,Stock,CHAI WATANA TANNERY GROUP PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ชัยวัฒนา แทนเนอรี่ กรุ๊ป จำกัด (มหาชน),CWT,TH0225A10Z02,accept
DCC,SET,Stock,DYNASTY CERAMIC PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ไดนาสตี้เซรามิค จำกัด (มหาชน),DCC,TH0278A10Z08,accept
DDD,SET,Stock,DO DAY DREAM PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ดู เดย์ ดรีม จำกัด (มหาชน),DDD,TH8365010009,accept
DELTA,SET,Stock,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),DELTA,TH0528A10Z06,accept
DRT,SET,Stock,DIAMOND BUILDING PRODUCTS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ผลิตภัณฑ์ตราเพชร จำกัด (มหาชน),DRT,TH0872A10Z08,accept
EA,SET,Stock,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท พลังงานบริสุทธิ์ จำกัด (มหาชน),EA,TH3545010003,accept
ECF,SET,Stock,EAST COAST FURNITECH PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท อีสต์โคสท์เฟอร์นิเทค จำกัด (มหาชน),ECF,TH4397010Z06,accept
EMC,SET,Stock,EMC PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท อีเอ็มซี จำกัด (มหาชน),EMC,TH0565B10Z09,accept
ETC,SET,Stock,EARTH TECH ENVIRONMENT PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอิร์ธ เท็ค เอนไวรอนเมนท์ จำกัด (มหาชน),ETC,TH9868010009,accept
ETE,SET,Stock,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท บูรพา เทคนิคอล เอ็นจิเนียริ่ง จำกัด (มหาชน),ETE,TH7761010001,accept
FE,SET,Stock,FAR EAST FAME LINE PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ฟาร์อีสท์ เฟมไลน์ ดีดีบี จำกัด (มหาชน),FE,TH0087010Y08,accept
FN,SET,Stock,FN FACTORY OUTLET PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เอฟเอ็น แฟคตอรี่ เอ๊าท์เลท จำกัด (มหาชน),FN,TH7578010004,accept
FPI,SET,Stock,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ฟอร์จูน พาร์ท อินดัสตรี้ จำกัด (มหาชน),FPI,TH3786010Z01,accept
FTE,SET,Stock,FIRETRADE ENGINEERING PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ไฟร์เทรดเอ็นจิเนียริ่ง จำกัด (มหาชน),FTE,TH8103010006,accept
FVC,SET,Stock,FILTER VISION PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ฟิลเตอร์ วิชั่น จำกัด (มหาชน),FVC,TH4919010009,accept
GGC,SET,Stock,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),GGC,TH7920010Z02,accept
GLAND,SET,Stock,GRAND CANAL LAND PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท แกรนด์ คาแนล แลนด์ จำกัด (มหาชน),GLAND,TH0538A10Z04,accept
GREEN,SET,Stock,GREEN RESOURCES PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท กรีน รีซอร์สเซส จำกัด (มหาชน),GREEN,TH0876A10Y05,accept
IT,SET,Stock,IT CITY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ไอที ซิตี้ จำกัด (มหาชน),IT,TH0706010Z02,accept
J,SET,Stock,JAS ASSET PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เจเอเอส แอสเซ็ท จำกัด (มหาชน),J,TH6823010009,accept
JMT,SET,Stock,JMT NETWORK SERVICES PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เจ เอ็ม ที เน็ทเวอร์ค เซอร์วิสเซ็ส จำกัด (มหาชน),JMT,TH3925010Z05,accept
KCE,SET,Stock,KCE ELECTRONICS PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เคซีอี อีเลคโทรนิคส์ จำกัด (มหาชน),KCE,TH0122C10Z04,accept
KSL,SET,Stock,KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท น้ำตาลขอนแก่น จำกัด (มหาชน),KSL,TH0828A10Z03,accept
KWM,SET,Stock,K. W. METAL WORK PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เค. ดับบลิว. เม็ททัล เวิร์ค จำกัด (มหาชน),KWM,TH8731010006,accept
LEE,SET,Stock,LEE FEED MILL PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท ลีพัฒนาผลิตภัณฑ์ จำกัด (มหาชน),LEE,TH0181B10Z03,accept
M,SET,Stock,MK RESTAURANT GROUP PUBLIC COMPANY LIMITED,,,,,no_sec_isin_match
MEGA,SET,Stock,MEGA LIFESCIENCES PUBLIC COMPANY LIMITED,หุ้นสามัญ,บริษัท เมก้า ไลฟ์ไซแอ็นซ์ จำกัด (มหาชน),MEGA,TH4984010009,accept
