ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
EGGY,NYSE ARCA,ETF,NestYield Dynamic Income ETF,,,,,,,,,,no_nyse_sample_match
EL,NYSE,Stock,Estee Lauder Companies Inc,EL,The Estee Lauder Companies Inc.,Class A Common Stock,A,US5184391044,,,US5184391044,,accept_isin
ELIL,NASDAQ,ETF,Direxion Daily LLY Bull 2X Shares,,,,,,,,,,no_nyse_sample_match
EMET,NYSE ARCA,ETF,VanEck ETF Trust - VanEck Copper And Green Metals ETF,,,,,,,,,,no_nyse_sample_match
EMPB,NYSE ARCA,ETF,Efficient Market Portfolio Plus ETF,,,,,,,,,,no_nyse_sample_match
ENAV,BATS,ETF,Collaborative Investment Series Trust - Mohr Sector Navigator ETF,,,,,,,,,,no_nyse_sample_match
ESBG,NYSE ARCA,ETF,"First Trust Enhanced Stocks, Bonds & Gold ETF",,,,,,,,,,no_nyse_sample_match
ESIM,NYSE ARCA,ETF,Eventide International ETF,,,,,,,,,,no_nyse_sample_match
ESLG,NYSE ARCA,ETF,Eventide Large Cap Growth ETF,,,,,,,,,,no_nyse_sample_match
ESLV,NYSE ARCA,ETF,Eventide Large Cap Value ETF,,,,,,,,,,no_nyse_sample_match
ESSC,NYSE ARCA,ETF,Eventide Small Cap ETF,,,,,,,,,,no_nyse_sample_match
ESUM,NYSE ARCA,ETF,Strategy Shares - Eventide US Market ETF,,,,,,,,,,no_nyse_sample_match
ETCO,NYSE ARCA,ETF,Grayscale Ethereum Covered Call ETF,,,,,,,,,,no_nyse_sample_match
ETFT,NYSE ARCA,ETF,Fundsmith Equity ETF,,,,,,,,,,no_nyse_sample_match
EXEQ,NYSE ARCA,ETF,Wedbush ReturnOnLeadership U.S. Large-Cap ETF,,,,,,,,,,no_nyse_sample_match
FBDC,NYSE ARCA,ETF,FT Confluence BDC & Specialty Finance Income ETF,,,,,,,,,,no_nyse_sample_match
FEBP,BATS,ETF,PGIM US Large-Cap Buffer 12 ETF - February,FEBP,PGIM US Large-Cap Buffer 12 ETF - February,ETF,ETF,US69420N3044,,,US69420N3044,,accept_isin
FEU,NYSE ARCA,ETF,SPDR STOXX Europe 50 ETF,,,,,,,,,,no_nyse_sample_match
FFND,NYSE ARCA,ETF,One Global ETF,,,,,,,,,,name_mismatch
