ticker,exchange,asset_type,name,bse_scrip_code,bse_security_id,bse_name,bse_isin,bse_sector,bse_industry,bse_group,bse_subgroup,sector_update,name_match,isin_match,decision,error
GPAPL,BSE_IN,Stock,Gujarat Peanut And Agri Products Ltd,544548,GPAPL,Gujarat Peanut And Agri Products Ltd,INE0SIK01014,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,Consumer Staples,True,True,accept,
GPSL,BSE_IN,Stock,Gabriel Pet Straps Ltd,544108,GPSL,Gabriel Pet Straps Ltd,INE0QZF01012,Industrials,Capital Goods,Industrial Products,Other Industrial Products,Industrials,True,True,accept,
GRAMEVA,BSE_IN,Stock,Grameva Ltd,539120,GRAMEVA,Grameva Ltd,INE578R01011,Commodities,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products,Materials,True,True,accept,
GRANDMA,BSE_IN,Stock,Grandma Trading & Agencies Ltd,504369,GRANDMA,Grandma Trading & Agencies Ltd,INE927M01029,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
GRANDOAK,BSE_IN,Stock,Grand Oak Canyons Distillery Ltd,523862,GRANDOAK,Grand Oak Canyons Distillery Ltd,INE926B01016,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),Financials,True,True,accept,
GRAVITY,BSE_IN,Stock,Gravity India Ltd-$,532015,GRAVITY,Gravity India Ltd-$,INE995A01013,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
GRERENEW,BSE_IN,Stock,GRE Renew Enertech Ltd,544682,GRERENEW,GRE Renew Enertech Ltd,INE0U8P01015,Industrials,Construction,Construction,Civil Construction,Industrials,True,True,accept,
GROARC,BSE_IN,Stock,Groarc Industries India Ltd,532315,GROARC,Groarc Industries India Ltd,INE042B01012,Information Technology,Information Technology,IT - Software,Software Products,Information Technology,True,True,accept,
GROWINGTON,BSE_IN,Stock,Growington Ventures India Ltd,539222,GROWINGTON,Growington Ventures India Ltd,INE451S01027,Services,Services,Commercial Services & Supplies,Trading & Distributors,Industrials,True,True,accept,
GSLTD,BSE_IN,Stock,Galaxy Supermarket Ltd-$,506186,GSLTD,Galaxy Supermarket Ltd-$,INE403B01016,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,Consumer Staples,True,True,accept,
GTTDATA,BSE_IN,Stock,GTT Data Solutions Ltd,530457,GTTDATA,GTT Data Solutions Ltd,INE959B01017,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,Information Technology,True,True,accept,
GUJARATPOLY,BSE_IN,Stock,Gujarat Poly Electronics Ltd,517288,GUJARATPOLY,Gujarat Poly Electronics Ltd,INE541F01022,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,Industrials,True,True,accept,
GUJCONT,BSE_IN,Stock,Gujarat Containers Ltd,513507,GUJCONT,Gujarat Containers Ltd,INE276I01011,Industrials,Capital Goods,Industrial Products,Packaging,Industrials,True,True,accept,
GUJCOTEX,BSE_IN,Stock,Gujarat Cotex Ltd,514386,GUJCOTEX,Gujarat Cotex Ltd,INE004C01028,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,Consumer Discretionary,True,True,accept,
