source_id,source_key,provider,source_url,authority_level,reference_scope,license_status,license_name,license_url,derived_facts_redistribution_status,raw_redistribution_allowed,attribution_required,commercial_use_status,terms_version,terms_sha256,license_reviewed_at,freshness_sla_days,enabled
39d6d4e6-f704-58f3-bf2e-74574a765b84,bme_growth_prices,BME Growth,https://www.bmegrowth.es/ing/Precios.aspx,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
15fa1926-3050-51cf-b6e0-a1584b85c327,bme_listed_companies,BME,https://apiweb.bolsasymercados.es/Market/v1/EQ/ListedCompanies,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
7170e4f4-fd0a-568d-b77b-db49b0404746,bme_listed_values,BME,https://www.bolsasymercados.es/dam/descargas/exchange/renta-variable/listado-valores-renta-variable-es-en.pdf,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
23f7858d-069e-5c61-95c7-280d746a8d69,bme_security_prices_directory,BME,https://apiweb.bolsasymercados.es/Market/v1/EQ/ListedCompanies,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
50c9c083-40f2-52c5-9b2a-19c3440dad41,bmv_capital_trust_search,BMV,https://www.bmv.com.mx/api/searchservice/v1,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
6f100106-62f0-5008-8681-bfb46f96ff1c,bmv_etf_search,BMV,https://www.bmv.com.mx/api/searchservice/v1,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
496d657e-3e38-58ff-8909-9165f4c82451,bmv_issuer_directory,BMV,https://staging.bmv.com.mx/es/Grupo_BMV/Informacion_de_emisora/_rid/541/_mto/3/_mod/doSearch,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
26fedbcd-a867-531c-a0c2-7ee33a1ae0fc,bmv_market_data_securities,BMV,https://www.bmv.com.mx/es/emisoras/estadisticas,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
359ad485-a8ad-5402-b948-bb7ab03007d0,bmv_stock_search,BMV,https://www.bmv.com.mx/api/searchservice/v1,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
c50ae109-53ae-5dba-8a64-fe12e6116708,bolsa_santiago_instruments,Bolsa de Santiago,https://www.bolsadesantiago.com/api/RV_ResumenMercado/getInstrumentos,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
c7498292-1563-5029-a148-12fd51c8dace,boursa_kuwait_stocks,Boursa Kuwait,https://www.boursakuwait.com.kw/en/securities/main-market/overview---main-market/,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
54ca5d9e-db9e-5712-af67-1f1635319e5f,bse_bw_listed_companies,BSE Botswana,https://www.bse.co.bw/companies/,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
dcda9c62-2723-5051-9681-285b6162dc11,bse_hu_listed_companies,Budapest Stock Exchange,https://www.bet.hu/oldalak/beta_piac#reszvenyek,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
21000cc0-e4af-5631-850a-7bf680f3286b,bse_india_scrips,BSE India,https://www.bseindia.com/corporates/List_Scrips.html,official,exchange_directory,review_required,,,review_required,false,review_required,review_required,,,,7,true
e25645f5-cd73-5ac4-8d4d-0ef02445196c,bursa_closing_prices,Bursa Malaysia,https://www.bursamalaysia.com/misc/missftp/securities/securities_equities_year_end_closing_prices_20250702.pdf?t=1751516082,official,listed_companies_subset,review_required,,,review_required,false,review_required,review_required,,,,30,true
